original_index,doi,extracted_data
164,4289684,"{
  ""domains"": [
    ""Computer Vision"",
    ""Transportation""
  ],
  ""models"": [
    ""quantum variational circuits"",
    ""quantum transfer learning""
  ]
}"
165,4289683,"{
  ""domains"": [
    ""Healthcare""
  ],
  ""models"": [
    ""Quantum Support Vector Machine""
  ]
}"
166,4289679,"{
  ""domains"": [
    ""Environmental Science"",
    ""Disaster Management""
  ],
  ""models"": [
    ""Quantum Support Vector Machine"",
    ""Quantum Neural Network""
  ]
}"
167,4289670,"{
  ""domains"": [
    ""Healthcare""
  ],
  ""models"": [
    ""Quantum Support Vector Machine""
  ]
}"
168,4289669,"{
  ""domains"": [
    ""Natural Language Processing""
  ],
  ""models"": [
    ""pretrained quantum-inspired deep neural network"",
    ""QPFE-ERNIE"",
    ""QWSD""
  ]
}"
169,4289668,"{
  ""domains"": [
    ""Healthcare""
  ],
  ""models"": [
    ""quantum deep convolutional generative adversarial networks"",
    ""QDCGAN""
  ]
}"
170,4289664,"{
  ""domains"": [
    ""Not Specified""
  ],
  ""models"": [
    ""Quantum K-nearest neighbors"",
    ""Quantum neural networks""
  ]
}"
171,4289661,"{
  ""domains"": [
    ""Drug Discovery"",
    ""Healthcare""
  ],
  ""models"": [
    ""Quantum kernel estimation""
  ]
}"
172,4289653,"{
  ""domains"": [
    ""Speech Emotion Recognition""
  ],
  ""models"": [
    ""Variational Quantum Classifier"",
    ""Quantum Support Vector Machine"",
    ""Quantum Approximate Optimisation Algorithm-based classifier""
  ]
}"
173,4289651,"{
  ""domains"": [
    ""Face Recognition""
  ],
  ""models"": [
    ""multigate quantum convolutional neural network"",
    ""variational quantum circuit""
  ]
}"
174,4289650,"{
  ""domains"": [
    ""Sea Clutter""
  ],
  ""models"": [
    ""Quantum Multi-head attention"",
    ""variational quantum circuit""
  ]
}"
175,4289647,"{
  ""domains"": [
    ""Image Classification""
  ],
  ""models"": [
    ""Quantum Neural Network"",
    ""Hybrid Quantum Neural Network""
  ]
}"
176,4289644,"{
  ""domains"": [
    ""Finance""
  ],
  ""models"": [
    ""QLSTM""
  ]
}"
177,4289642,"{
  ""domains"": [
    ""Remote sensing"",
    ""Geospatial"",
    ""Land use and land cover classification""
  ],
  ""models"": [
    ""Quantum Convolutional Neural Network"",
    ""Quantum CNN""
  ]
}"
178,4289633,"{
  ""domains"": [
    ""Transportation"",
    ""Urban Mobility""
  ],
  ""models"": [
    ""Variational Quantum Circuit""
  ]
}"
179,4289628,"{
  ""domains"": [
    ""Healthcare""
  ],
  ""models"": [
    ""hybrid classical-quantum neural networks""
  ]
}"
180,4289625,"{
  ""domains"": [
    ""Computer Vision""
  ],
  ""models"": [
    ""hybrid quantum–classical convolutional neural network"",
    ""parameterized quantum circuits"",
    ""quantum neural networks""
  ]
}"
181,4289624,"{
  ""domains"": [
    ""Image Processing""
  ],
  ""models"": [
    ""Quantum-inspired machine learning models""
  ]
}"
182,4289621,"{
  ""domains"": [
    ""Cybersecurity""
  ],
  ""models"": [
    ""Parameterized Quantum Circuit""
  ]
}"
183,4289616,"{
  ""domains"": [
    ""Not Specified""
  ],
  ""models"": [
    ""Quantum Neural Network"",
    ""Parameterized Quantum Circuit"",
    ""Hybrid quantum-classical Inception neural network""
  ]
}"
184,4289610,"{
  ""domains"": [
    ""Facial expression recognition""
  ],
  ""models"": [
    ""Quantum circuit""
  ]
}"
185,4289609,"{
  ""domains"": [
    ""Healthcare"",
    ""Medical Imaging""
  ],
  ""models"": [
    ""Quantum-enhanced Artificial Neural Network"",
    ""Parameterized Quantum Circuit""
  ]
}"
186,4289608,"{
  ""domains"": [
    ""Cybersecurity""
  ],
  ""models"": [
    ""Quantum Support Vector Machine"",
    ""Quantum Convolutional Neural Network""
  ]
}"
187,4289606,"{
  ""domains"": [
    ""Not Specified""
  ],
  ""models"": [
    ""quantum generative adversarial networks"",
    ""quantum diffusion model"",
    ""quantum latent diffusion model"",
    ""variational circuits""
  ]
}"
188,4289605,"{
  ""domains"": [
    ""Remote Sensing"",
    ""Image Processing""
  ],
  ""models"": [
    ""Hybrid Quantum Classical Convolutional Neural Network""
  ]
}"
189,4289603,"{
  ""domains"": [
    ""Not Specified""
  ],
  ""models"": [
    ""Not Specified""
  ]
}"
190,4289602,"{
  ""domains"": [
    ""Healthcare""
  ],
  ""models"": [
    ""Quantum Support Vector Machine""
  ]
}"
191,4289601,"{
  ""domains"": [
    ""Photovoltaic array fault detection""
  ],
  ""models"": [
    ""Parameterized quantum circuit""
  ]
}"
192,4289600,"{
  ""domains"": [
    ""Computational Linguistics""
  ],
  ""models"": [
    ""Quantum Support Vector Machine"",
    ""Hybrid quantum-classical neural networks"",
    ""Variational quantum classifier""
  ]
}"
193,4289596,"{
  ""domains"": [
    ""Manufacturing"",
    ""Industrial Inspection""
  ],
  ""models"": [
    ""QSurfNet"",
    ""Quantum CNN""
  ]
}"
194,4289595,"{
  ""domains"": [
    ""Recommender Systems""
  ],
  ""models"": [
    ""Quantum K-means algorithm""
  ]
}"
195,4289594,"{
  ""domains"": [
    ""Healthcare""
  ],
  ""models"": [
    ""Quantum Generative Adversarial Networks"",
    ""Quantum Image Generative Learning"",
    ""Variational Quantum Circuit""
  ]
}"
196,4289593,"{
  ""domains"": [
    ""Image Recognition""
  ],
  ""models"": [
    ""Variational quantum deep neural network""
  ]
}"
197,4289592,"{
  ""domains"": [
    ""Structural Health Monitoring"",
    ""Civil Engineering""
  ],
  ""models"": [
    ""Quantum classifier""
  ]
}"
198,4289591,"{
  ""domains"": [
    ""Medicine"",
    ""Biology"",
    ""Oncology""
  ],
  ""models"": [
    ""Quantum kernels""
  ]
}"
199,4289590,"{
  ""domains"": [
    ""Quantum Chemistry""
  ],
  ""models"": [
    ""Quantum Neural Network"",
    ""Quantum Extreme Learning Machine""
  ]
}"
